pdf_index,old_filename,new_filename,pmid
123,_-123.pdf,PMID_38521736.pdf,38521736
124,_-124.pdf,PMID_38681626.pdf,38681626
125,_-125.pdf,PMID_39089662.pdf,39089662
126,_-126.pdf,PMID_39169368.pdf,39169368
127,_-127.pdf,PMID_39368604.pdf,39368604
128,_-128.pdf,PMID_39468590.pdf,39468590
129,_-129.pdf,PMID_39543627.pdf,39543627
130,_-130.pdf,PMID_39617712.pdf,39617712
131,_-131.pdf,PMID_39648209.pdf,39648209
132,_-132.pdf,PMID_40341810.pdf,40341810
133,_-133.pdf,PMID_40567885.pdf,40567885
134,_-134.pdf,PMID_40584525.pdf,40584525
135,_-135.pdf,PMID_40634927.pdf,40634927
136,_-136.pdf,PMID_40772121.pdf,40772121
137,_-137.pdf,PMID_40881782.pdf,40881782
138,_-138.pdf,PMID_39654647.pdf,39654647
139,_-139.pdf,PMID_41351443.pdf,41351443
140,_-140.pdf,PMID_41520025.pdf,41520025
141,_-141.pdf,PMID_41591775.pdf,41591775
142,_-142.pdf,PMID_41626073.pdf,41626073
144,_-144.pdf,PMID_35312785.pdf,35312785
146,_-146.pdf,PMID_19559684.pdf,19559684
147,_-147.pdf,PMID_40642213.pdf,40642213
150,_-150.pdf,PMID_42131703.pdf,42131703
151,_-151.pdf,PMID_40847552.pdf,40847552
152,_-152.pdf,PMID_25452777.pdf,25452777
153,_-153.pdf,PMID_35115998.pdf,35115998
154,_-154.pdf,PMID_38027487.pdf,38027487
155,_-155.pdf,PMID_38034817.pdf,38034817
157,_-157.pdf,PMID_22291848.pdf,22291848
158,_-158.pdf,PMID_36102803.pdf,36102803
159,_-159.pdf,PMID_41641330.pdf,41641330
160,_-160.pdf,PMID_35585920.pdf,35585920
162,_-162.pdf,PMID_27242492.pdf,27242492
163,_-163.pdf,PMID_31091852.pdf,31091852
165,_-165.pdf,PMID_40995472.pdf,40995472
166,_-166.pdf,PMID_16790551.pdf,16790551
171,_-171.pdf,PMID_37901421.pdf,37901421
173,_-173.pdf,PMID_37206312.pdf,37206312
174,_-174.pdf,PMID_29204113.pdf,29204113
175,_-175.pdf,PMID_27857211.pdf,27857211
