gradient,predictor,coefficient,std_err,p_value,r_squared
Gradient_1,Afferent_Input_Index,-0.14748197698362364,0.41540771260957593,0.7233078194343422,0.00293991268526983
Gradient_1,Cognitive_Anchoring,-0.13569345117864529,0.3785343554476189,0.7207393230957964,0.00293991268526983
Gradient_2,Afferent_Input_Index,0.049723071723398474,0.4079591673415459,0.9032342720541892,0.006622207376172917
Gradient_2,Cognitive_Anchoring,-0.3050351722432472,0.37174697476962437,0.4138378307376685,0.006622207376172917
Gradient_3,Afferent_Input_Index,-0.5423776706174082,0.37744347240492365,0.15381512968760166,0.026159696859174963
Gradient_3,Cognitive_Anchoring,0.3457669931555676,0.3439399828355892,0.3171490869422027,0.026159696859174963
Gradient_4,Afferent_Input_Index,0.39402945070628426,0.37365449561308794,0.2941569630111417,0.027592167124512845
Gradient_4,Cognitive_Anchoring,-0.49829322480235283,0.3404873317552961,0.14644391018221298,0.027592167124512845
Gradient_5,Afferent_Input_Index,-0.3282140384052091,0.3627918364976978,0.3677827458843105,0.008917842327751502
Gradient_5,Cognitive_Anchoring,-0.05486547725097127,0.33058888851056034,0.8685179462368168,0.008917842327751502
