pmid,Sensorimotor,Salience,DMN,Frontoparietal,Limbic,Temporal,Subcortical,Occipital
16407533,0.0,0.08333333333333333,0.16666666666666666,0.4333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.0
17240066,0.15151515151515152,0.42424242424242425,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.0,0.06060606060606061,0.0
19559684,0.1118881118881119,0.1958041958041958,0.30069930069930073,0.06993006993006994,0.18181818181818182,0.06293706293706294,0.03496503496503497,0.04195804195804196
20423216,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.2857142857142857,0.0
20838644,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.4,0.0,0.0,0.06666666666666667,0.2
21080967,0.10256410256410256,0.28205128205128205,0.20512820512820512,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693
22291848,0.06521739130434782,0.13043478260869565,0.34782608695652173,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.10869565217391304,0.043478260869565216
22916152,0.24,0.0,0.03,0.2,0.05,0.17,0.060000000000000005,0.25
23152865,0.10344827586206896,0.06896551724137931,0.06896551724137931,0.2413793103448276,0.1724137931034483,0.034482758620689655,0.0,0.3103448275862069
23316257,0.52,0.08,0.02666666666666667,0.17333333333333334,0.02666666666666667,0.04,0.09333333333333334,0.04
23691237,0.0,0.14285714285714285,0.3571428571428571,0.3571428571428571,0.07142857142857142,0.0,0.0,0.07142857142857142
23840533,0.3722627737226277,0.014598540145985401,0.0948905109489051,0.24817518248175185,0.043795620437956206,0.058394160583941604,0.014598540145985401,0.1240875912408759
24062782,0.17857142857142858,0.06428571428571428,0.07142857142857142,0.12142857142857144,0.15714285714285714,0.19285714285714284,0.06428571428571428,0.15714285714285714
24603951,0.0,0.0,0.0,0.375,0.0625,0.125,0.4375,0.0
24734108,0.0,0.1111111111111111,0.16666666666666666,0.5555555555555556,0.1111111111111111,0.0,0.0,0.05555555555555555
24734113,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.0,0.09523809523809523,0.0,0.047619047619047616
24821143,0.0,0.25,0.0,0.41666666666666663,0.0,0.08333333333333333,0.25,0.0
24915066,0.08450704225352113,0.18309859154929578,0.14084507042253522,0.15492957746478872,0.028169014084507043,0.04225352112676056,0.14084507042253522,0.22535211267605634
24963329,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.2692307692307693,0.07692307692307693,0.19230769230769232
24968124,0.2608695652173913,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.0,0.21739130434782608
25220656,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
25228908,0.2655367231638418,0.0790960451977401,0.07344632768361582,0.2372881355932204,0.02824858757062147,0.0903954802259887,0.04519774011299435,0.18079096045197743
25452777,0.0,0.2,0.2,0.4,0.0,0.0,0.2,0.0
25525442,0.0,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.15789473684210525
25741269,0.22666666666666668,0.13333333333333333,0.11555555555555555,0.13777777777777778,0.044444444444444446,0.11555555555555556,0.04888888888888889,0.18666666666666668
26161117,0.10377358490566037,0.11320754716981132,0.19811320754716982,0.2641509433962264,0.08490566037735849,0.07547169811320754,0.10377358490566038,0.03773584905660377
26211895,0.14765100671140938,0.14093959731543626,0.19463087248322147,0.16778523489932887,0.013422818791946308,0.09395973154362415,0.0,0.22818791946308725
26467429,0.08,0.08,0.12,0.16,0.0,0.08,0.04,0.44000000000000006
26839078,0.0,0.32,0.08,0.28,0.04,0.0,0.16,0.12
27242492,0.0,0.36363636363636365,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.2727272727272727
27688791,0.05405405405405406,0.35135135135135137,0.0,0.5945945945945946,0.0,0.0,0.0,0.0
27803655,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.2857142857142857
27812501,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
27857211,0.14935064935064934,0.1038961038961039,0.09090909090909091,0.18181818181818182,0.01948051948051948,0.10389610389610392,0.15584415584415587,0.18181818181818182
28334999,0.23076923076923078,0.05128205128205128,0.1282051282051282,0.3333333333333333,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.02564102564102564
28443010,0.6000000000000001,0.0,0.0,0.4,0.0,0.0,0.0,0.0
28480365,0.25806451612903225,0.06451612903225806,0.0967741935483871,0.0967741935483871,0.0,0.12903225806451613,0.06451612903225806,0.3548387096774193
29343693,0.2138157894736842,0.10526315789473684,0.11842105263157893,0.19736842105263158,0.042763157894736836,0.09210526315789473,0.07894736842105263,0.16118421052631576
29563830,0.11764705882352941,0.17647058823529413,0.0,0.47058823529411764,0.0,0.0,0.23529411764705882,0.0
29763448,0.25,0.0,0.375,0.0625,0.125,0.0625,0.125,0.0
29904344,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222
29951105,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693
30034336,0.19047619047619047,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.0,0.23809523809523808
30105065,0.18518518518518517,0.0,0.0,0.25925925925925924,0.0,0.14814814814814814,0.1111111111111111,0.2962962962962963
30719061,0.11764705882352941,0.11764705882352941,0.29411764705882354,0.3529411764705882,0.0,0.0,0.0,0.11764705882352941
30881095,0.4,0.0,0.0,0.2,0.0,0.2,0.0,0.2
30914909,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285
30914919,0.0,0.4,0.2,0.2,0.0,0.0,0.2,0.0
31636536,0.25,0.375,0.125,0.125,0.0,0.125,0.0,0.0
32194493,0.3417721518987342,0.17721518987341772,0.0379746835443038,0.30379746835443033,0.0,0.02531645569620253,0.05063291139240506,0.06329113924050633
32377180,0.0,0.625,0.0,0.0,0.0,0.0,0.375,0.0
32807158,0.1,0.0,0.08,0.42000000000000004,0.08,0.12,0.06,0.1
33146953,0.2222222222222222,0.0,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.0,0.2222222222222222
33560579,0.0,0.0,0.1,0.25,0.0,0.0,0.35,0.30000000000000004
33776442,0.3829787234042553,0.0,0.2127659574468085,0.0,0.0,0.0,0.0,0.4042553191489362
34108856,0.125,0.125,0.375,0.25,0.0,0.0,0.125,0.0
34122321,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.4
34431029,0.08,0.08,0.12,0.16,0.0,0.08,0.04,0.44000000000000006
34483822,0.36363636363636365,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0
34671239,0.22727272727272727,0.13636363636363635,0.0,0.22727272727272727,0.0,0.09090909090909091,0.0,0.3181818181818182
34949986,0.06666666666666667,0.0,0.06666666666666667,0.39999999999999997,0.0,0.26666666666666666,0.2,0.0
35048524,0.2962962962962963,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.0,0.037037037037037035,0.037037037037037035,0.2222222222222222
35096130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35115998,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
35464313,0.13953488372093023,0.11627906976744186,0.13953488372093023,0.20930232558139533,0.023255813953488372,0.11627906976744186,0.023255813953488372,0.2325581395348837
35585920,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0
35734477,0.13043478260869565,0.043478260869565216,0.0,0.2608695652173913,0.0,0.043478260869565216,0.13043478260869565,0.3913043478260869
