// Analysis: correlation_clinical
// Studies: 11
// Total foci: 127
// Foci with t-values: 122
// Coordinate space: MNI
// All statistics converted to t-values

// Reference=16407533
// Subjects=16
-22.0	12.0	-20.0	4.923
28.0	48.0	2.0	3.89
-48.0	40.0	6.0	3.736
26.0	0.0	48.0	3.652
10.0	36.0	-2.0	3.346
-50.0	-48.0	-20.0	3.362
12.0	-32.0	-4.0	4.517
-32.0	-72.0	-30.0	4.306
36.0	-60.0	-44.0	3.441
10.0	-32.0	-26.0	4.945
-22.0	12.0	-20.0	4.923
28.0	48.0	2.0	3.89
-48.0	40.0	6.0	3.736
26.0	0.0	48.0	3.652
10.0	36.0	-2.0	3.346
50.0	-48.0	-20.0	3.362
12.0	-32.0	-4.0	4.517
-32.0	-72.0	-30.0	4.306
36.0	-60.0	-44.0	3.441
10.0	-32.0	-26.0	4.945

// Reference=26839078
// Subjects=104
-6.0	54.0	-3.0	3.871
-12.0	36.0	21.0	3.215
-24.0	42.0	27.0	3.915
15.0	48.0	21.0	4.038
12.0	9.0	66.0	4.411
27.0	42.0	27.0	3.904
-18.0	15.0	0.0	4.991
-9.0	0.0	15.0	4.827
-15.0	-12.0	9.0	3.694
-9.0	-57.0	-54.0	4.457
-6.0	54.0	-3.0	3.871
-12.0	36.0	21.0	3.215
-24.0	42.0	27.0	3.915
15.0	48.0	21.0	4.038
12.0	9.0	66.0	4.411
27.0	42.0	27.0	3.904
-18.0	15.0	0.0	4.991
-9.0	0.0	15.0	4.827
-15.0	-12.0	9.0	3.694
-9.0	-57.0	-54.0	4.457

// Reference=28334999
// Subjects=65
-34.2	-27.8	44.5	3.161
-34.2	-27.8	44.5	2.137
40.0	-22.0	45.7	4.112
40.0	-22.0	45.7	0.397
40.0	-22.0	45.7	-0.079
11.8	-38.2	60.9	5.365
11.8	-38.2	60.9	0.717
11.8	-38.2	60.9	2.775
-22.0	12.0	-20.0	3.916
28.0	48.0	2.0	3.292
-48.0	40.0	6.0	3.191
26.0	0.0	48.0	3.135
10.0	36.0	-2.0	2.924
-50.0	-48.0	-20.0	2.935
12.0	-32.0	-4.0	3.681
-32.0	-72.0	30.0	3.554
36.0	-60.0	-44.0	2.99
10.0	-32.0	-26.0	3.927

// Reference=32194493
// Subjects=41
28.0	38.0	20.0	-3.645
0.0	-30.0	62.0	-4.198
32.0	48.0	18.0	-3.745
-32.0	26.0	38.0	-3.796
32.0	-26.0	60.0	-3.771

// Reference=32807158
// Subjects=45
9.0	-42.0	-60.0	-5.42
-57.0	-57.0	-3.0	-6.25
-57.0	-42.0	0.0	-7.53
-24.0	-27.0	-27.0	-5.56
-21.0	27.0	0.0	-5.67
9.0	30.0	18.0	-5.81
-24.0	27.0	27.0	-7.08
24.0	6.0	27.0	-6.76
66.0	-3.0	27.0	-5.03
-54.0	-48.0	36.0	-7.07
-30.0	-72.0	48.0	-6.15
24.0	12.0	51.0	-5.49
-3.0	18.0	66.0	-5.89

// Reference=34671239
// Subjects=50
24.2	-71.4	58.1	7.03
59.6	-59.2	9.2	-5.93
24.2	-71.4	58.1	7.03
59.6	-59.2	9.2	-5.93

// Reference=34949986
// Subjects=38
0.0	-42.0	-15.0	5.132
0.0	-42.0	-15.0	3.283
39.0	6.0	-21.0	-3.283
39.0	6.0	-21.0	-3.283

// Reference=37721727
// Subjects=57
-4.0	-31.0	-4.0	p

// Reference=37901421
// Subjects=51
42.0	18.0	48.0	4.05
-6.0	-51.0	-33.0	5.3
39.0	36.0	36.0	3.5
-12.0	-48.0	51.0	4.49
-6.0	-48.0	-33.0	5.79
-3.0	-6.0	12.0	4.08
36.0	-72.0	36.0	3.97
36.0	21.0	57.0	3.94
42.0	24.0	48.0	4.22
-6.0	-51.0	-33.0	5.37
-9.0	-51.0	-33.0	6.01
-12.0	-51.0	51.0	4.77
36.0	12.0	39.0	3.78
-3.0	-9.0	12.0	3.85
-30.0	-60.0	-51.0	4.27
42.0	21.0	45.0	4.26
-54.0	-18.0	39.0	3.89
42.0	18.0	48.0	4.05
39.0	36.0	36.0	3.5
-12.0	-48.0	51.0	4.49
-3.0	-6.0	12.0	4.08
36.0	-72.0	36.0	3.97
36.0	21.0	57.0	3.94
42.0	24.0	48.0	4.22
-6.0	-51.0	-33.0	5.3
-6.0	-48.0	-33.0	5.79
-6.0	-51.0	-33.0	5.37
-9.0	-51.0	-33.0	6.01
-30.0	-60.0	-51.0	4.27
-12.0	-51.0	51.0	4.77
36.0	12.0	39.0	3.78
-3.0	-9.0	12.0	3.85
42.0	21.0	45.0	4.26
-54.0	-18.0	39.0	3.89

// Reference=39368604
// Subjects=36
-63.0	-21.0	33.0	p
9.0	-6.0	48.0	p
-9.0	36.0	33.0	p
42.0	33.0	45.0	p

// Reference=41520025
// Subjects=44
-8.0	-38.0	68.0	4.32
20.0	-34.0	66.0	4.66
-14.0	-26.0	38.0	4.63
-8.0	-58.0	48.0	4.67
