// Analysis: correlation_expectancy
// Studies: 2
// Total foci: 55
// Foci with t-values: 55
// Coordinate space: MNI
// All statistics converted to t-values

// Reference=21080967
// Subjects=48
39.0	-60.0	48.0	4.828

// Reference=23152865
// Subjects=41
-2.0	35.7	52.9	4.564
44.4	19.4	-10.5	3.026
-42.4	25.5	-12.6	3.533
42.4	38.8	30.0	3.156
-24.2	62.2	11.3	3.288
67.7	-7.1	16.5	3.026
-61.6	-23.5	15.5	2.886
-24.2	4.1	-28.2	3.014
36.4	-94.9	3.0	3.398
4.0	-72.4	-10.5	2.759
-18.2	-86.7	-16.8	2.862
-24.2	4.1	-28.2	2.851
-1.0	33.7	39.4	3.313
40.4	36.7	32.1	2.587
-26.3	60.2	13.4	3.937
46.5	19.4	-10.5	3.133
-6.1	-39.8	70.6	2.678
4.0	16.3	47.7	3.459
50.5	-53.0	55.0	2.956
28.3	-66.3	65.4	3.72
-44.4	20.4	-20.9	3.061
20.2	-83.6	-8.4	3.911
28.3	-65.3	6.1	3.133
-24.2	2.0	-30.3	2.944
12.1	-60.2	-6.4	3.038
-20.2	-86.7	-16.8	2.747
-4.0	37.7	55.0	3.645
-2.0	35.7	52.9	4.564
44.4	19.4	-10.5	3.026
-42.4	25.5	-12.6	3.533
42.4	38.8	30.0	3.156
-24.2	62.2	11.3	3.288
67.7	-7.1	16.5	3.026
-61.6	-23.5	15.5	2.886
-24.2	4.1	-28.2	3.014
36.4	-94.9	3.0	3.398
4.0	-72.4	-10.5	2.759
-18.2	-86.7	-16.8	2.862
-24.2	4.1	-28.2	2.851
-1.0	33.7	39.4	3.313
40.4	36.7	32.1	2.587
-26.3	60.2	13.4	3.937
46.5	19.4	-10.5	3.133
-6.1	-39.8	70.6	2.678
4.0	16.3	47.7	3.459
50.5	-53.0	55.0	2.956
28.3	-66.3	65.4	3.72
-44.4	20.4	-20.9	3.061
20.2	-83.6	-8.4	3.911
28.3	-65.3	6.1	3.133
-24.2	2.0	-30.3	2.944
12.1	-60.2	-6.4	3.038
-20.2	-86.7	-16.8	2.747
-4.0	37.7	55.0	3.645
