// Analysis: other
// Studies: 24
// Total foci: 469
// Foci with t-values: 357
// Coordinate space: MNI
// All statistics converted to t-values

// Reference=20423216
// Subjects=15
3.0	-21.0	-30.0	6.35
3.0	-84.0	39.0	9.4
9.0	21.0	45.0	6.42
54.0	-54.0	42.0	5.21
42.0	36.0	18.0	8.93
6.0	39.0	45.0	8.03
-12.0	-39.0	18.0	7.68
9.0	-42.0	-15.0	7.32
9.0	-30.0	21.0	7.26
3.0	-21.0	-30.0	6.35
3.0	-84.0	39.0	9.4
9.0	21.0	45.0	6.42
54.0	-54.0	42.0	5.21

// Reference=25741269
// Subjects=45
44.4	-47.9	0.9	8.74
-48.5	-21.4	4.0	-6.88
-31.3	20.4	0.9	-7.41
-14.1	17.3	57.1	-7.29
-48.5	-54.1	0.9	9.16
39.4	-21.4	-12.6	8.37
-42.4	-68.3	-23.0	-7.66
36.4	-33.7	-7.4	6.79
-50.5	-19.4	25.9	52.9
44.4	-19.4	25.9	22.59
14.1	-60.2	-39.6	19.38
-17.2	-63.2	-36.5	13.82
-28.3	-47.9	-20.9	13.74
19.2	-63.2	-9.5	13.86
-50.5	-68.3	12.4	10.89
52.5	-60.2	4.0	12.3
-6.1	-33.7	62.3	14.58
-39.4	-63.2	37.3	-10.96
-28.3	-44.9	-39.6	11.29
17.2	-41.8	37.3	-11.05
36.4	17.3	48.8	-10.61
-31.3	36.7	17.6	10.16
-11.1	-54.1	34.2	-10.27
33.3	-16.3	57.1	11.75
14.1	6.1	-9.5	11.44
25.2	11.2	9.2	11.95
-17.2	-33.7	67.5	11.91
-22.2	-36.7	70.6	15.53
-3.0	-30.6	40.4	-11.65
14.1	-44.9	-12.6	11.08
-22.2	11.2	7.2	10.41
39.4	-54.1	32.1	-9.84
3.0	-33.7	40.4	-10.63
-36.4	-27.5	62.3	10.11
-36.4	-54.1	12.4	10.59
-25.2	22.4	12.4	11.09
30.3	34.7	34.2	9.81
14.1	-41.8	70.6	11.04
-22.2	-24.5	70.6	10.82
30.3	-30.6	-4.3	-7.79
-34.3	-74.5	42.5	-8.45
-53.5	-57.1	23.8	-6.03

// Reference=26161117
// Subjects=28
20.0	27.0	60.0	3.342
3.0	50.0	22.0	8.608
-70.0	-54.0	5.0	-3.987
55.0	12.0	-30.0	-4.132
-60.0	-20.0	42.0	-3.16
66.0	-36.0	20.0	-8.797
-10.0	-3.0	-21.0	-2.833
30.0	-7.0	-21.0	5.627
-6.0	25.0	39.0	-2.982
19.0	-66.0	33.0	2.932
39.0	0.0	22.0	2.65
11.0	-60.0	-48.0	2.59
20.0	27.0	60.0	3.342
3.0	50.0	22.0	8.608
-70.0	-54.0	5.0	-3.987
55.0	12.0	-30.0	-4.132
-60.0	-20.0	42.0	-3.16
66.0	-36.0	20.0	-8.797
-10.0	-3.0	-21.0	-2.833
30.0	-7.0	-21.0	5.627
-6.0	25.0	39.0	-2.982
19.0	-66.0	33.0	2.932
39.0	0.0	22.0	2.65
11.0	-60.0	-48.0	2.59

// Reference=26211895
// Subjects=12
30.0	27.0	7.0	32.455
-11.0	14.0	44.0	16.165
11.0	16.0	41.0	15.688
-29.0	23.0	-2.0	14.959
-54.0	-21.0	30.0	10.682
-8.0	0.0	66.0	9.948
62.0	-16.0	23.0	9.629
-32.0	-5.0	43.0	9.273
-5.0	-24.0	27.0	8.38
5.0	-25.0	27.0	5.755
-10.0	-79.0	-4.0	5.124
31.0	-47.0	41.0	4.971
-12.0	-85.0	1.0	4.848
46.0	-32.0	39.0	4.586
5.0	-74.0	3.0	4.228
36.0	50.0	10.0	3.977
38.0	39.0	17.0	3.817
14.0	-67.0	37.0	3.701
52.0	-38.0	21.0	3.476
30.0	27.0	7.0	32.455
-11.0	14.0	44.0	16.165
11.0	16.0	41.0	15.688
-29.0	23.0	-2.0	14.959
-54.0	-21.0	30.0	10.682
-8.0	0.0	66.0	9.948
62.0	-16.0	23.0	9.629
-32.0	-5.0	43.0	9.273
-5.0	-24.0	27.0	8.38
5.0	-25.0	27.0	5.755
-10.0	-79.0	-4.0	5.124
31.0	-47.0	41.0	4.971
-12.0	-85.0	1.0	4.848
46.0	-32.0	39.0	4.586
5.0	-74.0	3.0	4.228
36.0	50.0	10.0	3.977
38.0	39.0	17.0	3.817
14.0	-67.0	37.0	3.701
52.0	-38.0	21.0	3.476
50.0	-62.0	23.0	8.559
-43.0	-67.0	24.0	7.241
-56.0	-10.0	-23.0	7.129
-21.0	25.0	36.0	6.635
-5.0	-61.0	22.0	6.467
9.0	-56.0	31.0	4.996
11.0	51.0	-7.0	4.563
