dropped,afferent_coef,afferent_p,cognitive_coef,cognitive_p,n
quality_of_life,0.8153044509039857,0.01943999115567625,-0.34190195634582515,0.18583238310927086,101
pain,0.8724812943153777,0.00921583993206379,-0.3960631005711005,0.1590096377202065,87
symptom_severity,0.25378528271513356,0.4973224798697369,-0.2467577329807321,0.3318062447382025,80
mood,0.6583675260719195,0.0600543568399967,-0.2707292345304143,0.32264151597612367,96
function,0.5548659210763495,0.10657728891123927,-0.1246055044878128,0.6413116687448275,93
cognition,0.6974902692444004,0.04165305240601764,-0.3303434711118369,0.215540839787282,108
