method_category,afferent_coef,afferent_p,cognitive_coef,cognitive_p,n,method,source,subset,dropped
whole_brain_activation,1.2727283476169124,0.0564035625874484,-0.6711688548048881,0.3196064805091293,41,MixedLM,sensitivity_imaging_family,,
network_ica,1.987126339320363,0.8549721806687701,-1.2131774561647437,0.7518499818212661,11,MixedLM,sensitivity_imaging_family,,
seed_based_fc,0.0575019105462005,0.9326128849786874,0.4782216438523828,0.3187029300202262,33,MixedLM,sensitivity_imaging_family,,
other,4.312735722439092,0.0092909493448347,1.9011558700268865,0.0932145744245238,10,MixedLM,sensitivity_imaging_family,,
graph_theory,-8.934867191702601,0.0016932655004032,-0.5372165457286853,0.2114953196037279,10,MixedLM,sensitivity_imaging_family,,
,0.7129389806278135,0.0308646733301097,-0.3103709229033426,0.2219241983090054,113,MixedLM,sensitivity_missingness,full_dataset,
,0.8293143443624948,0.0234752755800694,-0.3744064575238627,0.162993712050571,102,MixedLM,sensitivity_missingness,deqi_reported,
,0.8015080016438335,0.0166947029801698,-0.3228137218586433,0.2017602978883007,111,,sensitivity_leave_one_study,,24459533
,0.9046680668166212,0.0082332423819293,-0.2965332940608028,0.234774107877008,107,,sensitivity_leave_one_study,,24915066
,0.7401049278742489,0.0268365421833304,-0.2915842111244604,0.256403109587055,112,,sensitivity_leave_one_study,,25916336
,0.7457676279316712,0.0226327476344696,-0.4262257815305477,0.1007203101850247,104,,sensitivity_leave_one_study,,26839078
,0.7376151941273447,0.0268824667629466,-0.3209865478241409,0.2095287543818293,111,,sensitivity_leave_one_study,,27688791
,0.8417368761338518,0.0106640243413676,-0.3705899139169449,0.137785222098267,111,,sensitivity_leave_one_study,,27812501
,0.7523258495612161,0.0262711293220624,-0.3250224833607348,0.2075088733384663,111,,sensitivity_leave_one_study,,27857211
,0.7585785584158411,0.0255208630945011,-0.3171956533300975,0.2173529958540756,111,,sensitivity_leave_one_study,,29204113
,0.7104366757236483,0.0339311961124235,-0.300198991674312,0.2500009340076884,111,,sensitivity_leave_one_study,,29563830
,0.802372239533024,0.0253029718275738,-0.3620414918895814,0.1759584004260425,111,,sensitivity_leave_one_study,,29951105
,0.6804113001080251,0.0427669354689635,-0.3032689994322965,0.2367794237935528,107,,sensitivity_leave_one_study,,30034336
,0.6972836538565997,0.0470329108938737,-0.316673159289423,0.2210395447975653,111,,sensitivity_leave_one_study,,32807158
,0.7268496267722516,0.029936644828438,-0.3245879939240808,0.2153755781015646,111,,sensitivity_leave_one_study,,33013312
,0.3563972736416629,0.2815074973470264,-0.2302269412268564,0.3331906314000856,112,,sensitivity_leave_one_study,,33146953
,0.725238112639338,0.0307105900160051,-0.2989412136656812,0.2490959204562842,110,,sensitivity_leave_one_study,,34720908
,0.6666467364128097,0.0484425275852991,-0.2613773924513521,0.3098178161275338,108,,sensitivity_leave_one_study,,35048524
,0.7523701799685124,0.0287267264236333,-0.3510768415928718,0.1958529186633806,112,,sensitivity_leave_one_study,,35153654
,0.6693042986950992,0.048812669009646,-0.3210382600294357,0.2157633488382005,104,,sensitivity_leave_one_study,,35557556
,0.7132894380141136,0.0328469099857415,-0.3326411312653766,0.2032866588533257,110,,sensitivity_leave_one_study,,35585920
,0.714632795563412,0.033028187782404,-0.3228503643327589,0.212830286004213,107,,sensitivity_leave_one_study,,36051643
,0.6650349854960189,0.0509825067842469,-0.2996976111474819,0.2423782141073435,106,,sensitivity_leave_one_study,,36890655
,0.7283201366395358,0.030467587784023,-0.2745375781147851,0.3011507987746702,109,,sensitivity_leave_one_study,,37383656
,0.7263050738254172,0.0297948865053859,-0.2881117758086207,0.2705616598357564,112,,sensitivity_leave_one_study,,37721727
,0.4914510249214713,0.0962830804558248,-0.1190438630139602,0.6002759656026391,111,,sensitivity_leave_one_study,,38027487
,0.7133277067283669,0.0333266995404058,-0.3219295786284614,0.2196737375022502,111,,sensitivity_leave_one_study,,38245739
,0.694226104657916,0.038176852892482,-0.2744775637047605,0.2936445082873004,111,,sensitivity_leave_one_study,,38249582
,0.7212684735298813,0.0307969240835249,-0.3089008830429089,0.2291366694000881,112,,sensitivity_leave_one_study,,38585348
,0.633732340685565,0.0463353466719442,-0.3328187168963716,0.1714502008034789,111,,sensitivity_leave_one_study,,38681626
,0.7178943247891199,0.034161754720385,-0.3145778067115275,0.2331294684279204,111,,sensitivity_leave_one_study,,40584525
,0.6835038130337675,0.0425398319765419,-0.2989236630354079,0.250495873171049,107,,sensitivity_leave_one_study,,40634927
,0.707667324515875,0.0342889862524884,-0.3049823580563476,0.2358474460425356,111,,sensitivity_leave_one_study,,40847552
,0.7680964661285415,0.0220163054117236,-0.3670247603563235,0.1595603935166856,111,,sensitivity_leave_one_study,,40881782
,0.6787393004401931,0.0399868230899733,-0.2643187912036401,0.3019465885963979,111,,sensitivity_leave_one_study,,40950284
,0.6978294049123711,0.0410938032841242,-0.3034036519026836,0.2410979839954369,111,,sensitivity_leave_one_study,,41069516
,0.7450516904058622,0.025869752413773,-0.2721091306093186,0.3009695007387225,111,,sensitivity_leave_one_study,,41310834
,0.7106165861645832,0.0329051151100677,-0.3393575916436184,0.1924301912457859,111,,sensitivity_leave_one_study,,41351443
,0.736096119555959,0.0282933070009007,-0.2947195710189328,0.2583676053258712,111,,sensitivity_leave_one_study,,41834818
,0.758212856381663,0.0219352671844425,-0.4231867094124871,0.1184013227861427,111,,sensitivity_leave_one_study,,42131703
,0.8153044509039857,0.0194399911556762,-0.3419019563458251,0.1858323831092708,101,,sensitivity_leave_one_domain,,quality_of_life
,0.8724812943153777,0.0092158399320637,-0.3960631005711005,0.1590096377202065,87,,sensitivity_leave_one_domain,,pain
,0.2537852827151335,0.4973224798697369,-0.2467577329807321,0.3318062447382025,80,,sensitivity_leave_one_domain,,symptom_severity
,0.6583675260719195,0.0600543568399967,-0.2707292345304143,0.3226415159761236,96,,sensitivity_leave_one_domain,,mood
,0.5548659210763495,0.1065772889112392,-0.1246055044878128,0.6413116687448275,93,,sensitivity_leave_one_domain,,function
,0.6974902692444004,0.0416530524060176,-0.3303434711118369,0.215540839787282,108,,sensitivity_leave_one_domain,,cognition
